Year,Tegund úrgangs,Uppruni úrgangs,Atvinnugrein,Units,Value
2016,Matur,Fyrirtæki,Heilbrigðisstofnanir (86),Tonn,0.0
2016,Matur,Fyrirtæki,Öldrunarheimili (87),Tonn,120.8
2019,Matur,Fyrirtæki,Landbúnaður (01),Tonn,0.0
2019,Matur,Fyrirtæki,Kjötvinnsla (03),Tonn,22807.8
2019,Matur,Fyrirtæki,Ávaxta- og grænmetisvinnsla (10.3),Tonn,8.74
2019,Matur,Fyrirtæki,Framleiðsla olíu og feiti (10.4),Tonn,0.0
2019,Matur,Fyrirtæki,Framleiðsla mjólkurvara (10.5),Tonn,0.0
2019,Matur,Fyrirtæki,Framleiðsla bökunarvara (10.7),Tonn,298.5
2019,Matur,Fyrirtæki,Framleiðsla annara matvæla (10.8),Tonn,1.5
2019,Matur,Fyrirtæki,Framleiðsla drykkjavara (11),Tonn,0.0
2019,Matur,Fyrirtæki,Heildsala og smásala (46 og 47),Tonn,2418.7
2019,Matur,Fyrirtæki,Gistiþjónusta (55),Tonn,4918.8
2019,Matur,Fyrirtæki,Veitingaþjónusta (56),Tonn,6346.5
2019,Matur,Fyrirtæki,Education (85),Tonn,3581.7
2019,Matur,Fyrirtæki,Heilbrigðisstofnanir (86),Tonn,136.77
2019,Matur,Fyrirtæki,Öldrunarheimili (87),Tonn,326.5
2016,Matur,Heimili,,Kg á íbúa,23.0
2019,Matur,Heimili,,Kg á íbúa,19.7
2016,Matur,Fyrirtæki,,Kg á íbúa,127.4433508
2019,Matur,Fyrirtæki,,Kg á íbúa,26.6
