Year,Units,Útgjaldaliður,Value
2005,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,7.86
2006,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,7.7
2007,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,7.52
2008,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,7.48
2009,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,7.71
2010,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,7.27
2011,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,7.07
2012,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,7.12
2013,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,7.13
2014,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,7.28
2015,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,7.21
2016,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,7.33
2017,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,7.56
2018,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,7.75
2019,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Heilbrigðismál,7.79
1998,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,7.55
1999,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,7.44
2000,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,7.46
2001,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,7.63
2002,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,8.33
2003,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,9.38
2004,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,9.08
2005,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,8.81
2006,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,8.05
2007,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,8.11
2008,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,8.41
2009,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,10.45
2010,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,10.33
2011,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,10.77
2012,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,10.24
2013,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,9.82
2014,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,9.83
2015,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,9.17
2016,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,8.91
2017,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,9.74
2018,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,10.15
2019,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Félagsvernd,10.9
1998,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,7.26
1999,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,7.34
2000,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,7.35
2001,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,7.55
2002,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,8.02
2003,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,8.04
2004,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,7.94
2005,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,8.17
2006,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,8.12
2007,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,7.79
2008,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,7.94
2009,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,7.95
2010,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,7.73
2011,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,7.53
2012,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,7.38
2013,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,7.26
2014,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,7.36
2015,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,7.21
2016,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,7.02
2017,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,7.53
2018,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,7.03
2019,Hlutfall (%) af vergri þjóðarframleiðslu (GDP),Menntun,7.01
