Year,Units,Atvinnugrein,Value
2006,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.1487
2007,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.13559
2008,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.10841
2009,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.1583
2010,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.15909
2011,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.16304
2012,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.15729
2013,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.15399
2014,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.16094
2015,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.13501
2016,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.11432
2017,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.10322
2018,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.10432
2019,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.10633
2020,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.11
2021,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 13-15 Textíl-, fata- og leðuriðnaður",0.1152
1997,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.37111
1998,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.32499
1999,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.31291
2000,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.30978
2001,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.29045
2002,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.29495
2003,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.3015
2004,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.25263
2005,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.23676
2006,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.22687
2007,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.14961
2008,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.12257
2009,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.10377
2010,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.09074
2011,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.08492
2012,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.07505
2013,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.08496
2014,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.08856
2015,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.07811
2016,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.08333
2017,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.08551
2018,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.07044
2019,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.06569
2020,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.064
2021,Hlutfall (%) af vergri þjóðarframleiðslu,C: 16-17 Trjá- og pappírsiðnaður,0.0591
1997,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.36177
1998,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.38736
1999,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.37506
2000,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.31676
2001,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.2957
2002,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.27629
2003,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.26381
2004,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.29237
2005,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.25759
2006,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.24091
2007,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.30292
2008,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.33312
2009,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.33422
2010,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.33491
2011,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.32621
2012,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.30146
2013,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.31325
2014,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.30112
2015,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.27528
2016,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.27881
2017,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.23911
2018,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.19471
2019,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.16694
2020,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.119
2021,Hlutfall (%) af vergri þjóðarframleiðslu,C: 18 Prentun og fjölföldun upptekins efnis,0.1142
1997,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
1998,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
1999,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2000,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2001,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2002,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2003,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2004,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2005,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2006,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0
2007,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,1e-05
2008,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,1e-05
2009,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,1e-05
2010,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.00023
2011,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.00011
2012,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,-1e-05
2013,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.00052
2014,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.00065
2015,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,-0.00159
2016,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.00175
2017,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0118
2018,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.01463
2019,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0118
2020,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.005
2021,Hlutfall (%) af vergri þjóðarframleiðslu,C: 19 Framleiðsla á koksi og hreinsuðum olíuvörum,0.0057
1997,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.56875
1998,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.56457
1999,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.54051
2000,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.55495
2001,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.65468
2002,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.67296
2003,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.8995
2004,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,1.01901
2005,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.56585
2006,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.51601
2007,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.48934
2008,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.61418
2009,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.5125
2010,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.47909
2011,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.47243
2012,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.40853
2013,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.40557
2014,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.39623
2015,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.32866
2016,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.27523
2017,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,-0.07174
2018,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,-0.04197
2019,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.282
2020,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,0.316
2021,Hlutfall (%) af vergri þjóðarframleiðslu,C: 20-21 Framleiðsla á efnum og efnavörum og á lyfjum og efnum til lyfjagerðar,-0.1979
1997,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.41384
1998,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.38268
1999,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.36033
2000,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.32248
2001,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.31265
2002,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.28243
2003,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.30611
2004,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.28467
2005,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.24263
2006,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.17787
2007,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.17809
2008,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.17783
2009,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.15671
2010,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.13555
2011,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.14693
2012,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.1472
2013,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.14677
2014,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.14099
2015,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.15469
2016,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.13093
2017,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.1244
2018,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.12168
2019,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.11508
2020,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.131
2021,Hlutfall (%) af vergri þjóðarframleiðslu,C: 22 Framleiðsla á gúmmí- og plastvörum,0.0999
1997,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.61454
1998,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.58745
1999,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.51987
2000,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.60053
2001,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.56881
2002,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.49703
